id_parlamentar,casa,ano,dias_ausencias_justificadas,dias_ausencias_nao_justificadas,dias_com_sessoes_deliberativas,dias_presentes
204468,camara,2019,8,3,107,96
204468,camara,2020,0,1,11,10
204469,camara,2019,13,0,107,94
204469,camara,2020,0,0,11,11
204471,camara,2019,0,3,107,104
204471,camara,2020,0,0,11,11
204472,camara,2019,8,1,107,98
204472,camara,2020,8,1,11,2
204473,camara,2019,22,0,107,85
204473,camara,2020,2,1,11,8
204474,camara,2019,11,0,107,96
204474,camara,2020,3,0,11,8
204475,camara,2019,3,8,107,96
204475,camara,2020,1,2,11,8
204476,camara,2019,5,0,107,102
204476,camara,2020,0,1,11,10
204477,camara,2019,12,0,107,95
204477,camara,2020,1,0,11,10
204478,camara,2019,12,4,107,91
204478,camara,2020,0,1,11,10
204479,camara,2019,10,2,107,95
204479,camara,2020,2,0,11,9
204480,camara,2019,5,1,107,101
204480,camara,2020,1,0,11,10
204481,camara,2019,18,4,107,85
204481,camara,2020,3,1,11,7
204482,camara,2019,8,1,107,98
204482,camara,2020,1,1,11,9
204483,camara,2019,3,1,107,103
204483,camara,2020,1,0,11,10
204484,camara,2019,7,3,107,97
204484,camara,2020,0,0,11,11
204485,camara,2019,2,3,107,102
204485,camara,2020,0,0,11,11
204486,camara,2019,2,1,70,67
204486,camara,2020,1,0,11,10
204487,camara,2019,5,3,107,99
204487,camara,2020,0,3,11,8
204488,camara,2019,0,0,107,107
204488,camara,2020,1,0,11,10
204489,camara,2019,4,4,107,99
204489,camara,2020,1,3,11,7
204490,camara,2019,3,5,107,99
204490,camara,2020,0,0,11,11
204491,camara,2019,3,7,107,97
204491,camara,2020,1,0,11,10
204492,camara,2019,7,3,107,97
204492,camara,2020,1,0,11,10
204494,camara,2019,0,0,107,107
204494,camara,2020,2,0,11,9
204495,camara,2019,5,6,107,96
204495,camara,2020,1,0,11,10
204496,camara,2019,8,1,107,98
204496,camara,2020,1,0,11,10
204497,camara,2019,12,0,107,95
204497,camara,2020,2,0,11,9
204498,camara,2019,10,2,107,95
204498,camara,2020,2,1,11,8
204499,camara,2019,4,3,107,100
204499,camara,2020,2,0,11,9
204500,camara,2019,9,3,107,95
204500,camara,2020,2,0,11,9
204501,camara,2019,2,3,107,102
204501,camara,2020,1,3,11,7
204502,camara,2019,9,5,107,93
204502,camara,2020,1,3,11,7
204503,camara,2019,7,2,107,98
204503,camara,2020,1,0,11,10
204504,camara,2019,3,4,107,100
204504,camara,2020,1,2,11,8
204505,camara,2019,12,2,107,93
204505,camara,2020,1,2,11,8
204506,camara,2019,33,0,107,74
204506,camara,2020,6,0,11,5
204507,camara,2019,21,12,107,74
204507,camara,2020,1,2,11,8
204508,camara,2019,5,5,107,97
204508,camara,2020,1,5,11,5
204509,camara,2019,14,0,107,93
204509,camara,2020,11,0,11,0
204510,camara,2019,1,1,107,105
204510,camara,2020,0,0,11,11
204511,camara,2019,17,3,107,87
204511,camara,2020,1,1,11,9
204512,camara,2019,6,1,107,100
204512,camara,2020,0,0,11,11
204513,camara,2019,1,0,107,106
204513,camara,2020,2,0,11,9
204514,camara,2019,2,6,107,99
204514,camara,2020,0,0,11,11
204515,camara,2019,4,0,107,103
204515,camara,2020,1,0,11,10
204516,camara,2019,4,4,107,99
204516,camara,2020,0,0,11,11
204517,camara,2019,19,0,107,88
204517,camara,2020,3,1,11,7
204518,camara,2019,5,5,107,97
204518,camara,2020,1,1,11,9
204519,camara,2019,3,0,107,104
204519,camara,2020,5,0,11,6
204520,camara,2019,0,0,107,107
204520,camara,2020,1,0,11,10
204521,camara,2019,0,4,107,103
204521,camara,2020,1,0,11,10
204522,camara,2019,1,0,107,106
204522,camara,2020,2,0,11,9
204523,camara,2019,2,1,107,104
204523,camara,2020,4,0,11,7
204524,camara,2019,2,2,107,103
204524,camara,2020,1,0,11,10
204525,camara,2019,4,0,107,103
204525,camara,2020,1,0,11,10
204526,camara,2019,5,1,107,101
204526,camara,2020,1,0,11,10
204527,camara,2019,9,4,107,94
204527,camara,2020,2,0,11,9
204528,camara,2019,0,0,107,107
204528,camara,2020,0,0,11,11
204529,camara,2019,10,5,107,92
204529,camara,2020,2,2,11,7
204530,camara,2019,4,0,107,103
204530,camara,2020,0,0,11,11
204531,camara,2019,1,1,107,105
204531,camara,2020,1,0,11,10
204532,camara,2019,2,0,107,105
204532,camara,2020,1,0,11,10
204533,camara,2019,4,0,107,103
204533,camara,2020,0,0,11,11
204534,camara,2019,7,2,107,98
204534,camara,2020,1,0,11,10
204535,camara,2019,2,2,107,103
204535,camara,2020,1,1,11,9
204536,camara,2019,6,10,107,91
204536,camara,2020,0,1,11,10
204537,camara,2019,4,0,107,103
204537,camara,2020,2,4,11,5
204538,camara,2019,21,0,107,86
204538,camara,2020,3,0,11,8
204539,camara,2019,3,7,107,97
204539,camara,2020,1,6,11,4
204540,camara,2019,1,0,107,106
204540,camara,2020,1,0,11,10
204541,camara,2019,7,2,107,98
204541,camara,2020,0,0,11,11
204542,camara,2019,3,1,107,103
204542,camara,2020,0,0,11,11
204543,camara,2019,33,8,107,66
204543,camara,2020,0,4,4,0
204544,camara,2019,9,2,107,96
204544,camara,2020,2,0,11,9
204545,camara,2019,5,1,107,101
204545,camara,2020,1,0,11,10
204546,camara,2019,16,1,107,90
204546,camara,2020,3,2,11,6
204547,camara,2019,3,1,107,103
204547,camara,2020,7,0,11,4
204548,camara,2019,5,0,107,102
204548,camara,2020,0,0,11,11
204549,camara,2019,6,8,107,93
204549,camara,2020,0,0,11,11
204550,camara,2019,16,5,107,86
204550,camara,2020,3,1,11,7
204551,camara,2019,2,16,107,89
204551,camara,2020,1,4,11,6
204552,camara,2019,0,0,107,107
204552,camara,2020,0,0,11,11
204553,camara,2019,1,6,107,100
204553,camara,2020,2,2,11,7
204554,camara,2019,1,0,107,106
204554,camara,2020,1,0,11,10
204555,camara,2019,2,0,107,105
204555,camara,2020,1,0,11,10
204556,camara,2019,3,0,107,104
204556,camara,2020,0,0,11,11
204557,camara,2019,0,0,107,107
204557,camara,2020,0,0,11,11
204558,camara,2019,0,3,107,104
204558,camara,2020,1,3,11,7
204559,camara,2019,7,4,107,96
204559,camara,2020,3,1,11,7
204560,camara,2019,5,4,107,98
204560,camara,2020,4,2,11,5
204561,camara,2019,15,2,107,90
204561,camara,2020,0,0,11,11
204562,camara,2019,11,1,107,95
204562,camara,2020,0,1,11,10
204563,camara,2019,7,15,107,85
204563,camara,2020,0,1,3,2
204564,camara,2019,19,14,107,74
204564,camara,2020,0,10,11,1
204565,camara,2019,3,0,107,104
204565,camara,2020,2,0,11,9
204566,camara,2019,6,1,107,100
204566,camara,2020,2,2,11,7
204567,camara,2019,6,6,107,95
204567,camara,2020,1,0,11,10
204569,camara,2019,14,0,107,93
204569,camara,2020,1,1,11,9
204570,camara,2019,4,6,107,97
204570,camara,2020,1,4,11,6
204571,camara,2019,5,2,107,100
204571,camara,2020,1,0,11,10
204572,camara,2019,15,0,107,92
204572,camara,2020,1,1,11,9
204573,camara,2019,2,0,107,105
204573,camara,2020,0,1,11,10
204574,camara,2019,13,14,107,80
204574,camara,2020,1,8,11,2
204575,camara,2019,5,4,107,98
204575,camara,2020,1,1,11,9
204576,camara,2019,7,2,107,98
204576,camara,2020,1,0,11,10
205476,camara,2019,6,0,107,101
205476,camara,2020,0,0,11,11
205535,camara,2019,0,0,5,5
205535,camara,2020,1,0,11,10
205548,camara,2019,19,4,107,84
205548,camara,2020,1,1,11,9
205550,camara,2019,24,0,107,83
205550,camara,2020,1,0,11,10
205863,camara,2019,8,12,100,80
205863,camara,2020,1,6,11,4
205865,camara,2019,6,0,106,100
205865,camara,2020,0,0,11,11
206231,camara,2019,4,1,106,101
206231,camara,2020,1,0,11,10
207176,camara,2019,8,0,102,94
207176,camara,2020,1,1,11,9
207309,camara,2019,3,2,101,96
207309,camara,2020,1,0,11,10
209189,camara,2019,1,3,93,89
209189,camara,2020,1,0,11,10
211649,camara,2019,0,1,27,26
211866,camara,2019,0,0,40,40
211866,camara,2020,1,0,11,10
212504,camara,2019,0,0,13,13
212504,camara,2020,2,0,10,8
212625,camara,2019,0,0,6,6
212625,camara,2020,1,1,11,9
212749,camara,2020,0,0,11,11
213274,camara,2020,0,0,6,6
